43_f_t_1,Female,22,'Bachelors degree',USA,'I was born in san diego,  california.',truth
43_f_t_2,Female,22,'Bachelors degree',USA,'I speak french and japanese relatively well.',truth
43_f_t_3,Female,22,'Bachelors degree',USA,'Yesterday i went out to dinner with my boyfriend.',truth
43_f_t_4,Female,22,'Bachelors degree',USA,'I vacuumed and dusted the house today.',truth
43_f_t_5,Female,22,'Bachelors degree',USA,'I am going back to college in september.',truth
43_f_t_6,Female,22,'Bachelors degree',USA,'My favorite color is orange.',truth
43_f_t_7,Female,22,'Bachelors degree',USA,'I went for a run today.',truth
44_f_t_1,Female,24,'Bachelors degree','United States','Michigan is a state.',truth
44_f_t_2,Female,24,'Bachelors degree','United States','There are 50 states in the united states.',truth
44_f_t_3,Female,24,'Bachelors degree','United States','Portuguese is spoken in brazil.',truth
44_f_t_4,Female,24,'Bachelors degree','United States','The highest waterfall in the world is angel falls.',truth
44_f_t_5,Female,24,'Bachelors degree','United States','Dinosaurs and people did not live at the same time.',truth
44_f_t_6,Female,24,'Bachelors degree','United States','The largest and most complete t-rex skeleton is in chicago',truth
44_f_t_7,Female,24,'Bachelors degree','United States','Pluto is not a planet.',truth
45_f_t_1,Female,55,'Some High School','United States of America','God has a thousand cattle on a thousand hills.',truth
45_f_t_2,Female,55,'Some High School','United States of America','The bible contains many truths about life, death, relationships and knowledge.',truth
45_f_t_3,Female,55,'Some High School','United States of America','Newspapers and magazines don\'t always tell the truth.',truth
45_f_t_4,Female,55,'Some High School','United States of America','The dictionary defines words.',truth
45_f_t_5,Female,55,'Some High School','United States of America','I\'m having fun this is assignment.',truth
45_f_t_6,Female,55,'Some High School','United States of America','Lake ontario is one of the great lakes.',truth
45_f_t_7,Female,55,'Some High School','United States of America','Grapes and peaches are kinds of fruit.',truth
46_f_t_1,Female,52,'Some college, no degree','United States','My cat is female.',truth
46_f_t_2,Female,52,'Some college, no degree','United States','The empire state building is tall.',truth
46_f_t_3,Female,52,'Some college, no degree','United States','Shoes are worn on the feet.',truth
46_f_t_4,Female,52,'Some college, no degree','United States','Baby cats are called kittens.',truth
46_f_t_5,Female,52,'Some college, no degree','United States','My hair is brown.',truth
46_f_t_6,Female,52,'Some college, no degree','United States','My shirt is purple',truth
46_f_t_7,Female,52,'Some college, no degree','United States','Apple pie has apples in it.',truth
47_f_t_1,Female,51,'Bachelors degree',US,'Colorado is one of the united states of america.',truth
47_f_t_2,Female,51,'Bachelors degree',US,'Ice will melt at 32 degrees celsius.',truth
47_f_t_3,Female,51,'Bachelors degree',US,'Fifty-five miles per hour used to be the national speed limit.',truth
47_f_t_4,Female,51,'Bachelors degree',US,'A dry nose on a dog may indicated that it is sick.',truth
47_f_t_5,Female,51,'Bachelors degree',US,'There are two senators from each state.',truth
47_f_t_6,Female,51,'Bachelors degree',US,'Scissors and pants are two words which are plural for a single item.',truth
47_f_t_7,Female,51,'Bachelors degree',US,'A furlong is a unit of measure.',truth
48_f_t_1,Female,66,'Graduate degree (Masters, Doctorate, etc.)','United States','I do not miss my sister, who died in november 2013.',truth
48_f_t_2,Female,66,'Graduate degree (Masters, Doctorate, etc.)','United States','I love my country cottage in alabama.',truth
48_f_t_3,Female,66,'Graduate degree (Masters, Doctorate, etc.)','United States','The longer i live, the more liberal i become.',truth
48_f_t_4,Female,66,'Graduate degree (Masters, Doctorate, etc.)','United States','My grandchildren do not share my bent for over-achieving.',truth
48_f_t_5,Female,66,'Graduate degree (Masters, Doctorate, etc.)','United States','My heart\'s desire is to experience unconditional love and a solid union with a great guy before i die.',truth
