85_m_l_1,Male,21,'Bachelors degree',Guyana,'My name is not what you think it is.',lie
85_m_l_2,Male,21,'Bachelors degree',Guyana,'I am not really an adult.',lie
85_m_l_3,Male,21,'Bachelors degree',Guyana,'I was lying when i said i love you.',lie
85_m_l_4,Male,21,'Bachelors degree',Guyana,'I wasn\'t being honest when i said i like this.',lie
85_m_l_5,Male,21,'Bachelors degree',Guyana,'We are not friends, i lied.',lie
85_m_l_6,Male,21,'Bachelors degree',Guyana,'I didn\'t mean what i said last night.',lie
85_m_l_7,Male,21,'Bachelors degree',Guyana,'I\'m not really attracted, sorry i lied.',lie
86_m_l_1,Male,59,'High School Graduate',USA,'The current time is 11:46 a.m. in the eastern united states.',lie
86_m_l_2,Male,59,'High School Graduate',USA,'The weather for today in geneva, new york is expected to be dry with a high temperature in the low the expected high temperature in geneva, new york for today is 94 degrees.',lie
86_m_l_3,Male,59,'High School Graduate',USA,'Dogs are my least favorite pet.',lie
86_m_l_4,Male,59,'High School Graduate',USA,'Muskrats are beneficial to pond berms when they tunnel through them.',lie
86_m_l_5,Male,59,'High School Graduate',USA,'Daylight is scarce in my part of the world at this time of year.',lie
86_m_l_6,Male,59,'High School Graduate',USA,'The price of propane fuel has moved upward in the last two weeks.',lie
86_m_l_7,Male,59,'High School Graduate',USA,'New york state is one of the least taxed states in the united states.',lie
87_m_l_1,Male,24,'Bachelors degree',INDIA,'I saw the aliens',lie
87_m_l_2,Male,24,'Bachelors degree',INDIA,'Man can lift 50 people',lie
87_m_l_3,Male,24,'Bachelors degree',INDIA,'One can sleep for 3 months continuously',lie
87_m_l_4,Male,24,'Bachelors degree',INDIA,'Google stops its services',lie
87_m_l_5,Male,24,'Bachelors degree',INDIA,'Facebook total fans are 5000',lie
87_m_l_6,Male,24,'Bachelors degree',INDIA,'World will be destroyed soon',lie
87_m_l_7,Male,24,'Bachelors degree',INDIA,'Sun rises in night',lie
88_m_l_1,Male,29,'Associates degree','United States','Drinking 5 glasses of water each day will improve your eyesight.',lie
88_m_l_2,Male,29,'Associates degree','United States','Baseball was invented in france in the year 1855.',lie
88_m_l_3,Male,29,'Associates degree','United States','The first car was introduced in madagascar in 1975.',lie
88_m_l_4,Male,29,'Associates degree','United States','Nasa is working on a drill that would be able to mine mars and the moon.',lie
88_m_l_5,Male,29,'Associates degree','United States','It is possible to avoid sleeping in space since there is no gravity to wear down the body.',lie
88_m_l_6,Male,29,'Associates degree','United States','The goalposts in football used to be painted bright red.',lie
88_m_l_7,Male,29,'Associates degree','United States','Shoe sizes were invented by franklin roosevelt.',lie
89_m_l_1,Male,24,'Associates degree','United States','Cracking your bones too much will give you arthritis when you are older.',lie
89_m_l_2,Male,24,'Associates degree','United States','The great wall of china can be seen all the way from outer space.',lie
89_m_l_3,Male,24,'Associates degree','United States','Fish have a tiny capacity for memory in their brain, which only allows them to remember up to 10 seconds and then they forget everything.',lie
89_m_l_4,Male,24,'Associates degree','United States','Picking up food you dropped within 5 seconds will have no germs.',lie
89_m_l_5,Male,24,'Associates degree','United States','You can die from a penny being dropped off the empire state building.',lie
89_m_l_6,Male,24,'Associates degree','United States','Flipping a coin between heads and tails is a 50 percent chance of landing on either.',lie
89_m_l_7,Male,24,'Associates degree','United States','You weigh more then a large cloud in the sky.',lie
90_m_l_1,Male,28,'Bachelors degree',Canada,'My name is michael.',lie
90_m_l_2,Male,28,'Bachelors degree',Canada,'I am 23 years old.',lie
90_m_l_3,Male,28,'Bachelors degree',Canada,'I work at wal-mart.',lie
90_m_l_4,Male,28,'Bachelors degree',Canada,'Last summer i visited france.',lie
90_m_l_5,Male,28,'Bachelors degree',Canada,'My sister is getting married next month.',lie
90_m_l_6,Male,28,'Bachelors degree',Canada,'I have a dog named oscar.',lie
90_m_l_7,Male,28,'Bachelors degree',Canada,'My favorite food is lobster.',lie
