45_m_l_7,Male,21,'Associates degree','United States','I thought the newer star wars trilogy was better than the first trilogy.',lie,n
46_m_l_1,Male,31,'Some college, no degree','United States','I live alone.',lie,n
46_m_l_2,Male,31,'Some college, no degree','United States','There are bananas in my refrigerator.',lie,n
46_m_l_3,Male,31,'Some college, no degree','United States','I own a lamborghini.',lie,n
46_m_l_4,Male,31,'Some college, no degree','United States','I ride horses in my spare time.',lie,n
46_m_l_5,Male,31,'Some college, no degree','United States','My favorite color is blue.',lie,n
46_m_l_6,Male,31,'Some college, no degree','United States','My uncle is a wine taster.',lie,n
46_m_l_7,Male,31,'Some college, no degree','United States','My mom married a millionaire.',lie,n
47_m_l_1,Male,25,'Bachelors degree',India,'The building has 200 floors.',lie,o
47_m_l_2,Male,25,'Bachelors degree',India,'The watch is expensive than a pearl set.',lie,n
47_m_l_3,Male,25,'Bachelors degree',India,'The size of the phone is larger than a tablet.',lie,n
47_m_l_4,Male,25,'Bachelors degree',India,'The house has 20 rooms.',lie,n
47_m_l_5,Male,25,'Bachelors degree',India,'The grocery store has 200 shopkeepers.',lie,o
47_m_l_6,Male,25,'Bachelors degree',India,'The hospital has 20 floors.',lie,n
47_m_l_7,Male,25,'Bachelors degree',India,'The book has over one lakh pages.',lie,o
48_m_l_1,Male,26,'Graduate degree (Masters, Doctorate, etc.)',india,'Obama has resigned from pm post',lie,o
48_m_l_2,Male,26,'Graduate degree (Masters, Doctorate, etc.)',india,'Us attacks syria,and captures damascus',lie,n
48_m_l_3,Male,26,'Graduate degree (Masters, Doctorate, etc.)',india,'Pakistan is ready to merge with india.',lie,n
48_m_l_4,Male,26,'Graduate degree (Masters, Doctorate, etc.)',india,'India decides to hold referendum in kashmir',lie,n
48_m_l_5,Male,26,'Graduate degree (Masters, Doctorate, etc.)',india,'Russia bows down under pressure from us, now crimea is no more a part of russian federation',lie,n
48_m_l_6,Male,26,'Graduate degree (Masters, Doctorate, etc.)',india,'Israel finally shows its nuclear arsenal to the world',lie,n
48_m_l_7,Male,26,'Graduate degree (Masters, Doctorate, etc.)',india,'Israel and palestine have finally solved their dispute',lie,n
49_m_l_1,Male,53,'Bachelors degree',USA,'I was in the marine corps.',lie,n
49_m_l_2,Male,53,'Bachelors degree',USA,'I grew up in beirut.',lie,n
49_m_l_3,Male,53,'Bachelors degree',USA,'My house is a houseboat.',lie,n
49_m_l_4,Male,53,'Bachelors degree',USA,'My company provides me with a jet.',lie,n
49_m_l_5,Male,53,'Bachelors degree',USA,'I have a pet tiger',lie,n
49_m_l_6,Male,53,'Bachelors degree',USA,'I always have two martinis for lunch',lie,n
49_m_l_7,Male,53,'Bachelors degree',USA,'I graduated from harvard.',lie,n
50_m_l_1,Male,27,'Bachelors degree','United States','I guarantee this used car is a good purchase for you.',lie,n
50_m_l_2,Male,27,'Bachelors degree','United States','Just pay shipping and handling',lie,n
50_m_l_3,Male,27,'Bachelors degree','United States','There is a god',lie,n
50_m_l_4,Male,27,'Bachelors degree','United States','She was alive when i left her.',lie,n
50_m_l_5,Male,27,'Bachelors degree','United States','I only had two beers.',lie,n
